customer_id,name,address,website,credit_limit
1,Megan Hancock,"P.O. Box 735, 1682 Erat Avenue",Aliquam@risusa.ca,528
2,Ali K. Miller,"P.O. Box 844, 4546 Leo, Av.",Aliquam.ornare.libero@utaliquamiaculis.net,155
3,Cleo E. Taylor,Ap #882-3355 Tellus. Av.,mauris.sapien@morbi.co.uk,373
4,Abel C. Palmer,"P.O. Box 654, 1359 Integer Road",sed.pede@pellentesqueeget.edu,875
5,Heidi K. Fitzgerald,"260-2189 In, St.",id.ante@turpisIn.ca,347
6,Palmer Page,"P.O. Box 123, 715 Lorem, Av.",venenatis.a.magna@Mauris.co.uk,551
7,Kadeem M. Rivera,3316 Malesuada Rd.,pede.Praesent@leo.net,320
8,Cassidy Hudson,"Ap #494-739 Vitae, Rd.",ad.litora.torquent@nunc.com,585
9,Katell Cohen,"Ap #522-9602 Tincidunt, St.",quam.quis.diam@penatibus.com,320
10,Rafael Q. Chavez,Ap #545-9669 Arcu Avenue,dolor.quam@sagittis.ca,537
11,Kristen H. Terry,"P.O. Box 668, 4950 At, St.",purus@imperdietornareIn.ca,748
12,Kadeem Q. Fields,"P.O. Box 958, 2942 Senectus St.",cubilia.Curae.Phasellus@feugiatnon.net,625
13,Giacomo U. Bowers,3723 Arcu St.,scelerisque@imperdiet.org,538
14,Aquila E. Simon,Ap #853-4767 Ligula Rd.,Nullam@MorbivehiculaPellentesque.org,415
15,Kimberly E. Castaneda,"555-9087 Lorem, Avenue",eu@disparturientmontes.org,906
16,Wang Orr,Ap #965-7862 Et St.,ornare.lectus.ante@ultricies.net,778
17,Lucius B. Maddox,7513 Donec St.,orci@In.co.uk,135
18,Griffith Meadows,138 Mollis Rd.,ut.sem@ipsumportaelit.co.uk,148
19,Upton May,261-7283 Nunc St.,ante.blandit.viverra@vitaeorci.com,811
20,Yoko Shields,4241 Magnis Ave,dictum.mi.ac@risusDonec.com,767
21,Bethany B. Church,"P.O. Box 849, 1126 Nibh Street",commodo.auctor.velit@aliquetlobortis.org,757
22,Rylee O. Oconnor,1229 Mi Road,orci.tincidunt@velitAliquam.org,562
23,Amal Riggs,8604 Fusce Rd.,sed@Ut.co.uk,957
24,Hakeem P. Howard,1695 Dui Rd.,Sed.molestie.Sed@Duismienim.edu,432
25,Colorado Merritt,Ap #219-536 Ligula Road,Nullam.scelerisque.neque@gravida.co.uk,372
26,Nathaniel N. Cain,"P.O. Box 914, 1352 Quisque Av.",Nullam.velit@gravidasitamet.edu,373
27,Ulric Beard,705-3009 Tempor Rd.,Nunc.sollicitudin@habitant.com,894
28,Reese N. Daniels,"Ap #802-4973 Nec, St.",id.enim@volutpat.com,457
29,Elmo York,Ap #185-6724 Auctor Avenue,imperdiet.ullamcorper@dolordolor.net,979
30,Mohammad B. Kerr,8593 Tincidunt Road,nisi@semperet.net,118
31,Denton Davis,811-8687 Accumsan Avenue,magnis.dis@consequatauctor.org,875
32,Merrill Pope,229-7993 Eu Rd.,ridiculus.mus@fermentummetus.ca,231
33,Fletcher S. Stevens,Ap #911-3989 Phasellus Rd.,nibh.Phasellus@leoCras.edu,300
34,Aileen Todd,"P.O. Box 742, 2580 In Av.",euismod@tempor.net,757
